foil_ball
t	x	v_{x}
9.800888889E-1	-1.258545364E-1	-3.996115562E0
1.050700000E0	1.008869957E-1	-1.646073044E0
1.096377778E0	1.682276090E-1	-3.210161868E-1
1.088077778E0	1.687991687E-1	-1.823338322E-1
1.092233333E0	1.686655125E-1	-6.886262078E-2
1.100555556E0	1.659939444E-1	-6.355991796E-2
6.810777778E-1	-6.049797844E-1	-1.978115472E-2
6.769333333E-1	-6.047557311E-1	-1.453493455E-2
6.935555556E-1	-6.047616211E-1	6.669208684E-3
6.893888889E-1	-6.047425056E-1	1.907247073E-2
6.977111111E-1	-6.046870030E-1	2.642926457E-2
6.727888889E-1	-6.048593060E-1	2.832600027E-2
6.852444444E-1	-6.049201345E-1	2.854958807E-2
1.083933333E0	1.701788833E-1	8.510206112E-2
1.079766667E0	1.680918760E-1	1.504793516E-1
1.021711111E0	3.388675739E-3	2.428166705E-1
7.101666667E-1	-5.970470540E-1	2.522011456E-1
7.143111111E-1	-5.958812236E-1	5.257639326E-1
7.226333333E-1	-5.900562822E-1	6.289111916E-1
7.267777778E-1	-5.874562626E-1	6.872515431E-1
7.184666667E-1	-5.926832134E-1	6.999261997E-1
7.309222222E-1	-5.843597306E-1	7.293486410E-1
7.434000000E-1	-5.746943560E-1	7.629595918E-1
7.350777778E-1	-5.814026689E-1	7.944400814E-1
7.392333333E-1	-5.777570508E-1	8.060723034E-1
7.475333333E-1	-5.714244862E-1	8.082214841E-1
7.018555556E-1	-6.045422582E-1	8.094821566E-1
1.075611111E0	1.689265607E-1	8.151506431E-1
7.516777778E-1	-5.680040782E-1	8.477998391E-1
7.558444444E-1	-5.643783275E-1	8.729931868E-1
7.060000000E-1	-5.979772954E-1	9.018293761E-1
7.600000000E-1	-5.607388349E-1	9.162104387E-1
7.641555556E-1	-5.567636007E-1	9.295509370E-1
7.683000000E-1	-5.530235621E-1	9.523303521E-1
1.071466667E0	1.613261257E-1	1.029393609E0
7.724555556E-1	-5.488592588E-1	1.047106600E0
