lego_ball
t	x	v_{x}
5.066555556E-1	-6.556289907E-1	8.054351277E-4
5.108111111E-1	-6.555017805E-1	1.473088500E-2
5.149666667E-1	-6.555065607E-1	-1.986791545E-3
5.191222222E-1	-6.555182930E-1	5.666612152E-2
5.232888889E-1	-6.550349727E-1	1.061954953E-2
5.274222222E-1	-6.554301507E-1	-3.757181849E-2
5.315777778E-1	-6.553464013E-1	-3.912908475E-2
5.357888889E-1	-6.557575307E-1	-9.890718197E-3
5.398777778E-1	-6.554284943E-1	4.345281595E-2
5.440333333E-1	-6.553992864E-1	4.997791772E-2
5.481888889E-1	-6.550131222E-1	3.115268363E-2
5.523555556E-1	-6.551400268E-1	-1.831041633E-2
5.565111111E-1	-6.551655056E-1	-1.167692945E-2
5.606444444E-1	-6.552368156E-1	1.184945193E-2
5.648111111E-1	-6.550671551E-1	3.511838240E-2
5.689777778E-1	-6.549441624E-1	2.683953638E-2
5.731222222E-1	-6.548440888E-1	-2.721019965E-2
5.772777778E-1	-6.551700071E-1	-2.358635824E-2
5.814222222E-1	-6.550398555E-1	-1.478020600E-2
5.855888889E-1	-6.552928470E-1	-3.771042354E-3
5.897333333E-1	-6.550711971E-1	3.490281970E-3
5.938666667E-1	-6.552639552E-1	2.059203892E-2
5.980444444E-1	-6.549000544E-1	1.938576667E-2
6.021888889E-1	-6.551026226E-1	-5.417145275E-3
6.063333333E-1	-6.549449565E-1	9.695121962E-3
6.104888889E-1	-6.550221531E-1	8.726204403E-2
6.146333333E-1	-6.542206815E-1	1.034146043E-1
6.187888889E-1	-6.541638118E-1	5.474876838E-2
6.229444444E-1	-6.537656584E-1	1.288881139E-1
6.271333333E-1	-6.530883121E-1	2.298195760E-1
6.312777778E-1	-6.518504953E-1	2.610147565E-1
6.354555556E-1	-6.509160893E-1	3.066200916E-1
6.395555556E-1	-6.493123623E-1	2.364210391E-1
6.437111111E-1	-6.489643023E-1	1.406158115E-1
6.478666667E-1	-6.481436887E-1	3.375014274E-1
6.520111111E-1	-6.461630405E-1	5.155929973E-1
6.561666667E-1	-6.438642668E-1	4.599381353E-1
6.603111111E-1	-6.423455539E-1	3.823767701E-1
6.644777778E-1	-6.406862910E-1	4.656319306E-1
6.686333333E-1	-6.384704615E-1	5.680305403E-1
6.727666667E-1	-6.359779489E-1	6.484990155E-1
6.769333333E-1	-6.330879197E-1	7.300461382E-1
6.811000000E-1	-6.298942311E-1	7.656435494E-1
6.852444444E-1	-6.267245711E-1	7.020704313E-1
6.894000000E-1	-6.240670465E-1	7.633361704E-1
6.935444444E-1	-6.203888809E-1	9.035478644E-1
6.977000000E-1	-6.165675993E-1	8.273649994E-1
7.018555556E-1	-6.135125584E-1	8.004700377E-1
7.060222222E-1	-6.099059097E-1	9.026421827E-1
7.101888889E-1	-6.059905402E-1	9.838918106E-1
7.143222222E-1	-6.017396077E-1	9.906231380E-1
7.184555556E-1	-5.978013890E-1	1.015310122E0
7.226222222E-1	-5.933125337E-1	1.036378422E0
7.268666667E-1	-5.890842949E-1	1.043320381E0
7.309222222E-1	-5.846529745E-1	1.148186127E0
7.351000000E-1	-5.796308958E-1	1.141814211E0
7.392333333E-1	-5.751632297E-1	1.209994392E0
7.433777778E-1	-5.696148311E-1	1.292307996E0
7.475444444E-1	-5.644227144E-1	1.273829779E0
7.516888889E-1	-5.590278903E-1	1.342937528E0
7.558444444E-1	-5.532763329E-1	1.460301640E0
7.599888889E-1	-5.469073867E-1	1.510657302E0
7.641555556E-1	-5.407210922E-1	1.464210598E0
7.683000000E-1	-5.347381697E-1	1.513530364E0
7.724555556E-1	-5.281587902E-1	1.635987713E0
7.766000000E-1	-5.211594717E-1	1.706039953E0
7.808000000E-1	-5.139228346E-1	1.737198188E0
7.849111111E-1	-5.067214245E-1	1.756380192E0
7.890777778E-1	-4.993839097E-1	1.735850025E0
7.932111111E-1	-4.923138693E-1	1.846476688E0
7.973777778E-1	-4.840581532E-1	1.965040358E0
8.015222222E-1	-4.759822005E-1	1.931003168E0
8.056888889E-1	-4.680093713E-1	1.963207184E0
8.098333333E-1	-4.596657675E-1	1.988909870E0
8.139888889E-1	-4.515014194E-1	2.060162980E0
8.181444444E-1	-4.425435241E-1	2.084862575E0
8.223000000E-1	-4.341738949E-1	2.131290770E0
8.264333333E-1	-4.248774917E-1	2.170476694E0
8.306111111E-1	-4.161348219E-1	2.179873778E0
8.347444444E-1	-4.067603185E-1	2.245218219E0
8.388888889E-1	-3.975494044E-1	2.243465463E0
8.430666667E-1	-3.880897004E-1	2.321915144E0
8.472444444E-1	-3.781485134E-1	2.375889910E0
8.513666667E-1	-3.683698141E-1	2.348080116E0
8.555444444E-1	-3.586594485E-1	2.430229392E0
8.596666667E-1	-3.481989102E-1	2.533251239E0
8.638111111E-1	-3.377179049E-1	2.505206569E0
8.679666667E-1	-3.274056956E-1	2.525945212E0
8.721333333E-1	-3.166964275E-1	2.587568121E0
8.762777778E-1	-3.059001295E-1	2.663768313E0
8.804333333E-1	-2.945871505E-1	2.686262199E0
8.845888889E-1	-2.835743059E-1	2.669808243E0
8.887333333E-1	-2.724277421E-1	2.714236939E0
8.928888889E-1	-2.610461393E-1	2.757059803E0
8.970333333E-1	-2.495441457E-1	2.771966162E0
9.012111111E-1	-2.379772209E-1	2.798506007E0
9.053888889E-1	-2.261610733E-1	2.869299362E0
9.095000000E-1	-2.141939173E-1	2.917170286E0
9.136555556E-1	-2.020457990E-1	2.904753249E0
9.178111111E-1	-1.900521903E-1	2.944587542E0
9.219555556E-1	-1.776057224E-1	2.994996537E0
9.261888889E-1	-1.649607749E-1	3.062264782E0
9.302666667E-1	-1.521548995E-1	3.126118778E0
9.344111111E-1	-1.392571316E-1	3.105851008E0
9.385777778E-1	-1.263418267E-1	3.120948874E0
9.427111111E-1	-1.133532559E-1	3.182962381E0
9.468666667E-1	-9.995860516E-2	3.250826242E0
9.510222222E-1	-8.633527781E-2	3.273408478E0
9.551666667E-1	-7.278931479E-2	3.281481623E0
9.593333333E-1	-5.906251943E-2	3.293375496E0
9.634888889E-1	-4.538111205E-2	3.317292956E0
9.676444444E-1	-3.149212908E-2	3.416762426E0
9.717888889E-1	-1.702198391E-2	3.535878101E0
9.759444444E-1	-2.144340849E-3	3.485041551E0
9.801000000E-1	1.194258365E-2	3.469033729E0
9.842555556E-1	2.668718392E-2	3.588718627E0
9.884111111E-1	4.176882291E-2	3.630323993E0
9.925555556E-1	5.681887306E-2	3.644810017E0
9.967111111E-1	7.202074605E-2	3.668077978E0
1.000866667E0	8.730467670E-2	3.731141230E0
1.005011111E0	1.029892183E-1	3.820034782E0
1.009166667E0	1.190109654E-1	3.836656153E0
1.013322222E0	1.348760938E-1	3.892154886E0
