marble
t	x	v_{x}
7.433888889E-1	-6.185552390E-1	8.391106269E-1
7.475333333E-1	-6.147510557E-1	8.655295209E-1
7.517111111E-1	-6.113521100E-1	8.551448676E-1
7.558444444E-1	-6.076438517E-1	9.170557630E-1
7.599888889E-1	-6.037609261E-1	9.876761148E-1
7.641555556E-1	-5.994351657E-1	1.053599648E0
7.683000000E-1	-5.950043424E-1	1.058076434E0
7.724444444E-1	-5.906648877E-1	1.091837021E0
7.766111111E-1	-5.859299636E-1	1.141427026E0
7.807666667E-1	-5.811656784E-1	1.202687771E0
7.849000000E-1	-5.759610183E-1	1.240809161E0
7.890666667E-1	-5.708669623E-1	1.272463778E0
7.932111111E-1	-5.653854305E-1	1.331134448E0
7.973666667E-1	-5.598185464E-1	1.361381146E0
8.015333333E-1	-5.540557140E-1	1.431366806E0
8.056777778E-1	-5.479222979E-1	1.452357400E0
8.098222222E-1	-5.420172849E-1	1.507108191E0
8.139888889E-1	-5.353965542E-1	1.561708601E0
8.181222222E-1	-5.290551035E-1	1.577198593E0
8.222888889E-1	-5.223058059E-1	1.627215536E0
8.264666667E-1	-5.154768939E-1	1.663384246E0
8.306000000E-1	-5.084812346E-1	1.698979458E0
8.347555556E-1	-5.013942419E-1	1.753870164E0
8.388888889E-1	-4.939435997E-1	1.836052803E0
8.430444444E-1	-4.861754042E-1	1.855989058E0
8.472000000E-1	-4.785182684E-1	1.840694031E0
8.513555556E-1	-4.708771916E-1	1.916796433E0
8.555000000E-1	-4.626088580E-1	1.972510473E0
8.596666667E-1	-4.544834379E-1	1.991815993E0
8.638111111E-1	-4.460546540E-1	2.044653142E0
8.679666667E-1	-4.375128169E-1	2.113772602E0
8.721222222E-1	-4.284868550E-1	2.181034786E0
8.762666667E-1	-4.194102281E-1	2.177827299E0
8.804333333E-1	-4.103866904E-1	2.177788675E0
8.845777778E-1	-4.013103845E-1	2.209755475E0
8.887444444E-1	-3.920211671E-1	2.314743622E0
8.928777778E-1	-3.820980124E-1	2.373888155E0
8.970444444E-1	-3.723178954E-1	2.342220885E0
9.012000000E-1	-3.626055297E-1	2.387993803E0
9.053444444E-1	-3.524975468E-1	2.447221671E0
9.095000000E-1	-3.422935898E-1	2.530029359E0
9.136444444E-1	-3.314983031E-1	2.558533142E0
9.178000000E-1	-3.210577648E-1	2.528450449E0
9.219555556E-1	-3.104840705E-1	2.610550954E0
9.261222222E-1	-2.993321796E-1	2.616807816E0
9.302666667E-1	-2.887354900E-1	2.618317811E0
9.344111111E-1	-2.776292342E-1	2.722061684E0
9.385666667E-1	-2.661423780E-1	2.785886181E0
9.427222222E-1	-2.544754246E-1	2.758304337E0
9.468888889E-1	-2.431871564E-1	2.780219596E0
9.510333333E-1	-2.313687106E-1	2.845411481E0
9.551777778E-1	-2.196018568E-1	2.879591634E0
9.593333333E-1	-2.074681001E-1	2.928136104E0
9.634777778E-1	-1.952983271E-1	2.951197567E0
9.676444444E-1	-1.829403692E-1	2.977872552E0
9.718000000E-1	-1.705158100E-1	3.016557997E0
9.759444444E-1	-1.579029378E-1	3.057905792E0
9.801000000E-1	-1.451351919E-1	3.088849039E0
9.842555556E-1	-1.322311702E-1	3.187961197E0
9.884111111E-1	-1.186396922E-1	3.204317957E0
9.925666667E-1	-1.055997277E-1	3.268884428E0
9.967111111E-1	-9.150795143E-2	3.279385359E0
1.000866667E0	-7.838082919E-2	3.245579998E0
1.005011111E0	-6.456963745E-2	3.324048162E0
1.009166667E0	-5.079122944E-2	3.351229352E0
1.013311111E0	-3.675443383E-2	3.433440655E0
1.017466667E0	-2.229367200E-2	3.455063671E0
1.021622222E0	-8.039015762E-3	3.485323535E0
1.025822222E0	6.828142420E-3	3.561286891E0
1.029922222E0	2.151966544E-2	3.601569511E0
1.034077778E0	3.656109960E-2	3.612554867E0
1.038233333E0	5.154401033E-2	3.641574019E0
1.042400000E0	6.686708783E-2	3.692491851E0
1.046544444E0	8.223272038E-2	3.742602394E0
1.050700000E0	9.793068770E-2	3.753710572E0
1.054855556E0	1.134302260E-1	3.860974245E0
1.059000000E0	1.299767739E-1	3.939061711E0
1.063155556E0	1.461244382E-1	3.978790907E0
1.067311111E0	1.630449472E-1	4.011220231E0
1.071466667E0	1.794621353E-1	4.031497107E0
1.075611111E0	1.965063732E-1	4.153426977E0
1.079777778E0	2.139817284E-1	4.124333136E0
1.083933333E0	2.308299901E-1	4.177519043E0
1.088077778E0	2.486551364E-1	4.286785932E0
1.092222222E0	2.663626824E-1	4.301136164E0
1.096433333E0	2.845935186E-1	4.364457165E0
1.100544444E0	3.026846648E-1	4.457509970E0
1.104677778E0	3.213432119E-1	4.545226639E0
1.108855556E0	3.404605484E-1	4.580686545E0
1.112988889E0	3.594138067E-1	4.537788199E0
1.117144444E0	3.780737706E-1	4.620672003E0
1.121288889E0	3.977653844E-1	4.870011413E0
1.125455556E0	4.185489766E-1	4.964062877E0
1.129611111E0	4.390774187E-1	5.042994185E0
1.133755556E0	4.604058283E-1	4.972452034E0
1.137911111E0	4.803487706E-1	4.990333530E0
1.142055556E0	5.018255966E-1	5.167336404E0
1.146211111E0	5.232376628E-1	5.013789149E0
1.150377778E0	5.435514641E-1	9.908094298E-1
