Ping_pong_ball
t	x	v_{x}
2.616444444E-1	-6.799268588E-1	1.262078017E-1
2.658000000E-1	-6.788628667E-1	1.771725874E-1
2.699333333E-1	-6.784582949E-1	8.368556418E-2
2.740888889E-1	-6.781692064E-1	1.382403584E-1
2.782444444E-1	-6.773093639E-1	2.146734239E-1
2.824000000E-1	-6.763850317E-1	1.174588459E-1
2.865444444E-1	-6.763344555E-1	1.163169094E-1
2.907000000E-1	-6.754196013E-1	1.962132450E-1
2.948555556E-1	-6.747037054E-1	1.828693870E-1
2.990222222E-1	-6.738977217E-1	1.325491844E-1
3.031666667E-1	-6.736020744E-1	6.804979331E-2
3.073111111E-1	-6.733336645E-1	1.665884111E-1
3.114777778E-1	-6.722175396E-1	3.935627639E-1
3.156222222E-1	-6.700627206E-1	4.002334283E-1
3.197777778E-1	-6.688956022E-1	2.297505398E-1
3.239222222E-1	-6.681557911E-1	3.186018824E-1
3.280777778E-1	-6.662512065E-1	5.830763259E-1
3.322333333E-1	-6.633097790E-1	5.201998755E-1
3.363777778E-1	-6.619335476E-1	4.756804361E-1
3.405555556E-1	-6.593510607E-1	5.415843811E-1
3.446888889E-1	-6.574323796E-1	5.344702881E-1
3.488444444E-1	-6.549208959E-1	6.154184337E-1
3.530555556E-1	-6.522833787E-1	6.516907048E-1
3.571555556E-1	-6.495046220E-1	6.709379469E-1
3.613000000E-1	-6.467518681E-1	7.572654653E-1
3.655555556E-1	-6.431435921E-1	9.320082438E-1
3.696111111E-1	-6.390058440E-1	9.356617829E-1
3.737555556E-1	-6.354711655E-1	9.798098048E-1
3.779222222E-1	-6.308625359E-1	1.073873197E0
3.820666667E-1	-6.265460860E-1	1.077944714E0
3.862333333E-1	-6.219036176E-1	1.046683032E0
3.903777778E-1	-6.178469871E-1	1.076124558E0
3.945222222E-1	-6.129837407E-1	9.659036357E-1
3.986888889E-1	-6.098192546E-1	1.011988553E0
4.028333333E-1	-6.045729914E-1	1.139459379E0
4.069777778E-1	-6.003744024E-1	1.126973751E0
4.111444444E-1	-5.952065873E-1	1.390412540E0
4.153000000E-1	-5.888030803E-1	1.414812427E0
4.194444444E-1	-5.834636442E-1	1.455232051E0
4.236000000E-1	-5.767246543E-1	1.544816668E0
4.277444444E-1	-5.706416658E-1	1.695571732E0
4.319111111E-1	-5.626325692E-1	1.717335114E0
4.360555556E-1	-5.563687029E-1	1.617883010E0
4.402222222E-1	-5.491861637E-1	1.621252884E0
4.443555556E-1	-5.429123039E-1	1.609127701E0
4.485222222E-1	-5.358304038E-1	1.696582602E0
4.526666667E-1	-5.288118174E-1	1.751385129E0
4.568222222E-1	-5.212939073E-1	1.758696547E0
4.609777778E-1	-5.141950950E-1	1.789153584E0
4.651333333E-1	-5.064240530E-1	2.065553203E0
4.692777778E-1	-4.970510034E-1	1.955471647E0
4.734333333E-1	-4.901936384E-1	1.878404956E0
4.775888889E-1	-4.814393711E-1	2.059018353E0
4.817444444E-1	-4.730809080E-1	2.076998378E0
4.858888889E-1	-4.642002846E-1	2.135199619E0
4.900444444E-1	-4.553587512E-1	2.132076559E0
4.942111111E-1	-4.464566697E-1	2.112678069E0
4.983666667E-1	-4.377765748E-1	2.189051403E0
5.025111111E-1	-4.282875430E-1	2.227474629E0
5.066666667E-1	-4.192885354E-1	2.189597402E0
5.108222222E-1	-4.100895557E-1	2.301863684E0
5.151000000E-1	-3.998761517E-1	2.427637824E0
5.191111111E-1	-3.899671355E-1	2.473570284E0
5.232777778E-1	-3.796478436E-1	2.412209236E0
5.274222222E-1	-3.699189965E-1	2.401851821E0
5.315888889E-1	-3.596857862E-1	2.479273334E0
5.357222222E-1	-3.493410279E-1	2.556630159E0
5.398777778E-1	-3.384941629E-1	2.606324210E0
5.440333333E-1	-3.276795778E-1	2.570941239E0
5.482000000E-1	-3.170982186E-1	2.609524971E0
5.523444444E-1	-3.059915258E-1	2.660344811E0
5.564888889E-1	-2.950469160E-1	2.489370701E0
5.606444444E-1	-2.853297490E-1	2.485038273E0
5.648000000E-1	-2.743934868E-1	2.745426892E0
5.689777778E-1	-2.624511915E-1	2.837200739E0
5.731000000E-1	-2.508447207E-1	2.787535727E0
5.772555556E-1	-2.393765902E-1	2.555916683E0
5.814222222E-1	-2.295738141E-1	2.588817079E0
5.855666667E-1	-2.178606438E-1	2.917572643E0
5.897333333E-1	-2.053255437E-1	2.980801395E0
5.938666667E-1	-1.931199923E-1	2.871038503E0
5.980222222E-1	-1.815278245E-1	2.620305511E0
6.021888889E-1	-1.713132275E-1	2.768020782E0
6.063444444E-1	-1.584917405E-1	2.893084651E0
6.104888889E-1	-1.473006249E-1	2.867081545E0
6.146333333E-1	-1.347268201E-1	3.013297681E0
6.188000000E-1	-1.222567731E-1	3.056454487E0
6.229444444E-1	-1.093242873E-1	3.189239307E0
6.270888889E-1	-9.582152281E-2	3.111611141E0
6.312444444E-1	-8.349791479E-2	3.048642641E0
6.353888889E-1	-7.051778889E-2	3.060345818E0
6.395444444E-1	-5.809704450E-2	3.075978966E0
6.437000000E-1	-4.495298592E-2	3.260884309E0
6.478555556E-1	-3.099547269E-2	3.309865259E0
6.520111111E-1	-1.744432800E-2	3.381312701E0
6.561555556E-1	-2.930577275E-3	3.418616425E0
6.603111111E-1	1.093018833E-2	3.303614267E0
6.644666667E-1	2.452612796E-2	3.388665145E0
6.686111111E-1	3.905610903E-2	3.414650053E0
6.727888889E-1	5.294360452E-2	3.322108602E0
6.769444444E-1	6.674034739E-2	3.592291355E0
6.811000000E-1	8.279953711E-2	3.583447160E0
6.852333333E-1	9.644314274E-2	3.632907716E0
6.894000000E-1	1.129526712E-1	3.826261755E0
6.935333333E-1	1.282011153E-1	3.682797426E0
6.977000000E-1	1.435198898E-1	3.681652000E0
7.018444444E-1	1.587997341E-1	3.763050016E0
7.060000000E-1	1.747532049E-1	3.954674724E0
7.101555556E-1	1.916674752E-1	3.855531347E0
7.143000000E-1	2.067541151E-1	3.826172622E0
7.184666667E-1	2.234672210E-1	3.859180062E0
7.226111111E-1	2.388281894E-1	3.971639131E0
7.267666667E-1	2.564318258E-1	4.191648654E0
7.309111111E-1	2.736188732E-1	4.130735147E0
7.351000000E-1	2.908546186E-1	4.162994041E0
7.392333333E-1	3.082642347E-1	4.243814888E0
7.433777778E-1	3.259839752E-1	4.262710298E0
7.475222222E-1	3.435973668E-1	4.292632901E0
7.516777778E-1	3.616128283E-1	4.476412238E0
7.558333333E-1	3.808013263E-1	4.425491139E0
7.600333333E-1	3.985902654E-1	4.251171353E0
7.641333333E-1	4.160860485E-1	4.451950367E0
7.683000000E-1	4.353930551E-1	4.706307385E0
7.724444444E-1	4.552006921E-1	4.727527880E0
7.766000000E-1	4.746315365E-1	4.501939020E0
7.807444444E-1	4.925667860E-1	-2.953262338E0
7.849111111E-1	4.500866450E-1	-5.125872426E0
